Chromosome,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8
1,11603,14227,14691,15345,15092,13690,14931,14221
2,9569,11737,10892,11997,11439,10235,11752,10836
3,6704,8451,8908,9329,9029,8339,9046,8589
4,4681,5834,6095,6472,6238,5682,6444,5996
5,4971,6179,5912,6384,6185,5702,6605,5925
6,5660,7113,6230,6605,6413,5879,6767,6146
7,7173,8969,8536,9293,8574,7705,8456,7157
8,3915,4842,4728,4924,4855,4596,5059,4783
9,5398,6611,5776,6603,6890,6242,6853,6494
10,5574,6859,6317,6737,6783,6150,6851,6373
11,7253,8702,8039,8462,8275,7510,8117,7869
12,6784,8313,8242,8839,8790,8000,8556,8289
13,2510,3168,3055,3243,3170,2855,2674,2713
14,3125,3848,4527,5066,4882,4530,4274,4655
15,3480,4270,4915,5737,5056,4784,5586,4880
16,4890,5855,5635,5997,5861,5326,6198,5328
17,5624,6751,6198,6866,6690,6012,6776,6412
18,1782,2211,1934,2076,2049,1815,2199,1961
19,7745,9147,8521,8896,8813,8025,8673,8456
20,3221,4032,3853,4383,4225,3890,4344,4173
21,1303,1591,1918,2218,2021,1766,1954,1826
22,2888,3490,2772,2968,2900,2551,3160,2743
X,2236,2841,2632,2751,2711,2493,2656,2596
Y,99,124,65,82,74,67,98,77